IATA Code,Airport,City,COUNTRY,CONTINENT
AZR,Touat-Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AFRICA
ALG,Houari Boumediene Airport,Algiers,Algeria,AFRICA
AAE,Rabah Bitat Airport,Annaba,Algeria,AFRICA
BLJ,Batna Airport,Batna,Algeria,AFRICA
BJA,Soummam Airport,Béjaïa,Algeria,AFRICA
BSK,Biskra Airport,Oumache,Algeria,AFRICA
CFK,Chlef International Airport,Chlef,Algeria,AFRICA
CZL,Mohamed Boudiaf International Airport,Constantine,Algeria,AFRICA
HME,Oued Irara Airport,Hassi Messaoud,Algeria,AFRICA
GJL,Jijel Ferhat Abbas Airport,Jijel,Algeria,AFRICA
ORN,Oran Es Senia Airport,Oran,Algeria,AFRICA
QSF,Ain Arnat Airport,Sétif,Algeria,AFRICA
TMR,Tamanrasset Airport,Tamanrasset,Algeria,AFRICA
TLM,Zenata – Messali El Hadj Airport,Tlemcen,Algeria,AFRICA
ALY,El Nouzha Airport,Asyut,Egypt,AFRICA
ATZ,Assiut Airport,Asyut,Egypt,AFRICA
ASW,Aswan International Airport,Aswan,Egypt,AFRICA
CAI,Cairo International Airport,Cairo,Egypt,AFRICA
AAC,El Arish International Airport,El Arish,Egypt,AFRICA
DBB,El Alamein International Airport,El Dabaa,Egypt,AFRICA
HRG,Hurghada International Airport,Hurghada,Egypt,AFRICA
LXR,Luxor International Airport,Luxor,Egypt,AFRICA
RMF,Marsa Alam International Airport,Marsa Alam,Egypt,AFRICA
MUH,Mersa Matruh International Airport,Mersa Matruh,Egypt,AFRICA
SKV,St. Catherine International Airport,Saint Catherine,Egypt,AFRICA
SSH,Sharm El Sheikh International Airport,Sharm El Sheikh,Egypt,AFRICA
HMB,Sohag International Airport,Sohag,Egypt,AFRICA
TCP,Taba International Airport,Taba,Egypt,AFRICA
BEN,Benina International Airport,Benghazi,Libya,AFRICA
SEB,Sabha Airport,Sabha,Libya,AFRICA
TIP,Tripoli International Airport,Tripoli,Libya,AFRICA
MJI,Mitiga International Airport,Tajoura,Libya,AFRICA
AGA,Agadir–Al Massira Airport,Agadir,Morocco,AFRICA
CMN,Mohammed V International Airport,Casablanca,Morocco,AFRICA
FEZ,Fès–Saïs Airport,Fes,Morocco,AFRICA
RAK,Marrakesh Menara Airport,Marrakech,Morocco,AFRICA
NDR,Nador International Airport,Nador,Morocco,AFRICA
OUD,Angads Airport,Oujda,Morocco,AFRICA
RBA,Rabat–Salé Airport,Rabat,Morocco,AFRICA
TNG,Tangier Ibn Battouta Airport,Tangier,Morocco,AFRICA
TTU,Sania Ramel Airport,Tetouan,Morocco,AFRICA
VIL,Dakhla Airport,Dakhla,Morocco,AFRICA
EUN,Hassan I Airport,Laayoune,Morocco,AFRICA
KRT,Khartoum International Airport,Khartoum,Sudan,AFRICA
PZU,Port Sudan New International Airport,Port Sudan,Sudan,AFRICA
DJE,Djerba–Zarzis International Airport,Djerba,Tunisia,AFRICA
NBE,Enfidha–Hammamet International Airport,Enfidha,Tunisia,AFRICA
MIR,Monastir Habib Bourguiba International Airport,Monastir,Tunisia,AFRICA
SFA,Sfax–Thyna International Airport,Sfax,Tunisia,AFRICA
TBJ,Tabarka–Aïn Draham International Airport,Tabarka,Tunisia,AFRICA
TOE,Tozeur–Nefta International Airport,Tozeur,Tunisia,AFRICA
TUN,Tunis–Carthage International Airport,Tunis,Tunisia,AFRICA
COO,Cadjehoun Airport,Cotonou,Benin,AFRICA
BOY,Bobo Dioulasso Airport,Bobo-Dioulasso,Burkina Faso,AFRICA
OUA,Thomas Sankara International Airport Ouagadougou,Ouagadougou,Burkina Faso,AFRICA
BVC,Aristides Pereira International Airport,Boa Vista,Cape Verde,AFRICA
SID,Amílcar Cabral International Airport,Sal Island,Cape Verde,AFRICA
RAI,Nelson Mandela International Airport,"Praia, Santiago Island",Cape Verde,AFRICA
VXE,Cesária Évora Airport,São Vicente,Cape Verde,AFRICA
ABJ,Félix-Houphouët-Boigny International Airport,Abidjan,Côte d'Ivoire,AFRICA
BJL,Banjul International Airport,Banjul,The Gambia,AFRICA
ACC,Kotoka International Airport,Accra,Ghana,AFRICA
KMS,Kumasi International Airport,Kumasi,Ghana,AFRICA
TKD,Takoradi Airport,Takoradi,Ghana,AFRICA
